Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.0488,-10.89981,0.00302,24.2375,2,84.6651724137931,35,132567
4.04494,-10.89981,0.00606,24.46213,2,84.61275862068966,35,132568
4.04172,-10.89981,0.00907,24.46213,2,84.5608620689655,35,132569
4.03914,-10.89898,0.01211,24.4509,2,84.50844827586207,35,132570
4.03656,-10.89981,0.01514,24.46213,2,84.45620689655173,35,132571
4.03399,-10.89981,0.01817,24.4509,2,84.40396551724139,35,132572
4.03206,-10.89981,0.0212,24.46213,2,84.35172413793103,35,132573
4.03012,-10.89898,0.02422,24.4509,2,84.2996551724138,35,132574
4.02819,-10.89898,0.02725,24.4509,2,84.24741379310343,35,132575
4.02626,-10.89981,0.03027,24.4509,2,84.1953448275862,35,132576
4.02497,-10.89981,0.03329,24.4509,2,84.14327586206896,35,132577
4.02304,-10.89981,0.03633,24.4509,2,84.0908620689655,35,132578
4.0211,-10.89981,0.03935,24.43966,2,84.03879310344828,35,132579
4.02046,-10.89898,0.04238,24.4509,2,83.98655172413794,35,132580
4.01917,-10.89981,0.04541,24.4509,2,83.93431034482758,35,132581
4.01788,-10.89898,0.04845,24.46213,2,83.88189655172414,35,132582
4.01659,-10.89981,0.05146,24.4509,2,83.83,35,132583
4.01531,-10.89981,0.0545,24.46213,2,83.77758620689654,35,132584
4.01402,-10.89898,0.05752,24.4509,2,83.72551724137931,35,132585
4.01273,-10.89898,0.06056,24.4509,2,83.67310344827585,35,132586
4.01208,-10.89898,0.06357,24.4509,2,83.62120689655171,35,132587
4.0108,-10.89898,0.06661,24.46213,2,83.56879310344829,35,132588
4.01015,-10.89898,0.06964,24.46213,2,83.51655172413794,35,132589
4.008859999999999,-10.89981,0.07266,24.67552,2,83.46448275862069,35,132590
4.00822,-10.89981,0.07568,24.46213,2,83.41241379310344,35,132591
4.0069300000000005,-10.89981,0.07871,24.46213,2,83.36017241379311,35,132592
4.00629,-10.89981,0.08175,24.4509,2,83.30775862068965,35,132593
4.005,-10.89898,0.08478,24.66429,2,83.25551724137931,35,132594
4.00435,-10.89898,0.0878,24.66429,2,83.20344827586207,35,132595
