Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.06455,5.4504,0.00151,22.99543,1,85.33672413793104,44,306884
4.06262,5.4504,0.00303,22.99543,1,85.31051724137932,44,306885
4.06069,5.4504,0.00455,22.78303,1,85.28431034482759,44,306886
4.05876,5.4504,0.00606,22.99543,1,85.25827586206897,44,306887
4.05747,5.44958,0.00757,22.99543,1,85.23224137931034,44,306888
4.05618,5.44958,0.00909,22.78303,1,85.20603448275862,44,306889
4.0549,5.44958,0.0106,22.99543,1,85.17999999999999,44,306890
4.05425,5.44958,0.01211,23.00661,1,85.15396551724139,44,306891
4.05296,5.4504,0.01363,22.78303,1,85.12775862068966,44,306892
4.05168,5.44958,0.01514,23.00661,1,85.10172413793104,44,306893
4.05103,5.4504,0.01665,22.99543,1,85.07568965517241,44,306894
4.04975,5.4504,0.01817,22.99543,1,85.0494827586207,44,306895
4.0491,5.4504,0.01968,22.99543,1,85.02344827586207,44,306896
4.04846,5.44958,0.0212,22.99543,1,84.99724137931034,44,306897
4.04782,5.4504,0.02271,22.99543,1,84.97120689655172,44,306898
4.04717,5.44958,0.02423,22.99543,1,84.945,44,306899
4.04588,5.4504,0.02574,22.99543,1,84.91896551724138,44,306900
4.04524,5.4504,0.02725,22.99543,1,84.89293103448276,44,306901
4.0446,5.44958,0.02877,22.99543,1,84.86672413793104,44,306902
4.04395,5.44958,0.03028,23.00661,1,84.84068965517241,44,306903
4.04331,5.4504,0.03179,22.99543,1,84.8146551724138,44,306904
4.042669999999999,5.4504,0.03331,22.99543,1,84.78844827586207,44,306905
4.04202,5.4504,0.03482,23.00661,1,84.76241379310345,44,306906
4.04138,5.4504,0.03634,22.99543,1,84.73620689655172,44,306907
4.04074,5.44958,0.03785,22.99543,1,84.7101724137931,44,306908
4.04009,5.4504,0.03936,22.99543,1,84.68413793103447,44,306909
4.03945,5.44958,0.04088,22.99543,1,84.65793103448276,44,306910
4.03945,5.44958,0.04239,22.98425,1,84.63189655172413,44,306911
4.0388,5.4504,0.0439,22.99543,1,84.60586206896552,44,306912
4.03816,5.44958,0.04542,22.99543,1,84.5796551724138,44,306913
4.03752,5.44958,0.04693,22.99543,1,84.55362068965518,44,306914
4.03752,5.4504,0.04845,22.99543,1,84.52741379310345,44,306915
4.03687,5.4504,0.04996,23.00661,1,84.50137931034484,44,306916
4.036230000000001,5.4504,0.05147,22.99543,1,84.47534482758621,44,306917
4.036230000000001,5.4504,0.0529899999999999,22.99543,1,84.44913793103447,44,306918
4.03559,5.44958,0.0545,23.00661,1,84.42310344827587,44,306919
4.03494,5.4504,0.05602,22.99543,1,84.39689655172413,44,306920
4.03494,5.44958,0.05753,23.20784,1,84.37086206896552,44,306921
4.0343,5.44958,0.0590399999999999,22.99543,1,84.3448275862069,44,306922
4.03366,5.4504,0.06056,22.99543,1,84.31862068965518,44,306923
4.03366,5.4504,0.06207,23.20784,1,84.29258620689654,44,306924
4.03301,5.44958,0.06359,23.20784,1,84.26637931034483,44,306925
4.032369999999999,5.44958,0.0651,23.20784,1,84.24034482758621,44,306926
4.032369999999999,5.44958,0.06661,23.20784,1,84.21431034482758,44,306927
4.03172,5.44958,0.06813,23.19666,1,84.18810344827587,44,306928
4.03108,5.4504,0.06964,23.19666,1,84.16206896551725,44,306929
4.03108,5.4504,0.07115,23.20784,1,84.13603448275862,44,306930
4.0304400000000005,5.44958,0.07267,23.20784,1,84.1098275862069,44,306931
4.02979,5.44958,0.07418,23.20784,1,84.08379310344827,44,306932
4.02979,5.4504,0.0757,23.20784,1,84.05758620689654,44,306933
