Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.0385,-16.34971,0.00455,28.22467,3,85.7098275862069,34,92158
4.0327,-16.34889,0.00909,28.4156,3,85.63155172413794,34,92159
4.02819,-16.34889,0.01364,28.42683,3,85.55310344827586,34,92160
4.02432,-16.34889,0.01817,28.21344,3,85.47500000000001,34,92161
4.0211,-16.34889,0.0227,28.42683,3,85.39689655172414,34,92162
4.01788,-16.34971,0.02726,28.29206,3,85.31827586206897,34,92163
4.01531,-16.34971,0.03179,28.42683,3,85.2401724137931,34,92164
4.01208,-16.34889,0.03632,28.42683,3,85.16206896551725,34,92165
4.01015,-16.34971,0.04088,28.42683,3,85.08344827586208,34,92166
4.00758,-16.34971,0.04542,28.42683,3,85.0051724137931,34,92167
4.0056400000000005,-16.34971,0.04996,28.42683,3,84.92689655172414,34,92168
4.00371,-16.34971,0.05449,28.42683,3,84.84879310344827,34,92169
4.00178,-16.34971,0.05905,28.42683,3,84.7701724137931,34,92170
3.99984,-16.34889,0.06359,28.43807,3,84.69189655172414,34,92171
3.99856,-16.34971,0.06811,28.42683,3,84.61396551724138,34,92172
3.99662,-16.34889,0.07267,28.4156,3,84.53534482758621,34,92173
3.99534,-16.34889,0.07721,28.42683,3,84.45706896551724,34,92174
3.9934,-16.34971,0.08175,28.42683,3,84.37879310344827,34,92175
3.99211,-16.34889,0.08628,28.42683,3,84.3006896551724,34,92176
3.99083,-16.34889,0.09084,28.43807,3,84.22206896551724,34,92177
3.98954,-16.34889,0.09537,28.42683,3,84.14396551724137,34,92178
3.98825,-16.34889,0.0999,28.42683,3,84.06586206896552,34,92179
3.98696,-16.34971,0.10446,28.629,3,83.98724137931035,34,92180
3.98567,-16.34971,0.10899,28.64023,3,83.90913793103448,34,92181
3.98438,-16.34889,0.11352,28.629,3,83.83103448275862,34,92182
3.9831,-16.34889,0.1180799999999999,28.64023,3,83.75241379310346,34,92183
3.98181,-16.34971,0.12262,28.64023,3,83.67413793103448,34,92184
3.98052,-16.34971,0.12715,28.64023,3,83.59603448275861,34,92185
3.97923,-16.34971,0.1317,28.64023,3,83.51758620689654,34,92186
3.97859,-16.34889,0.13623,28.64023,3,83.43948275862068,34,92187
3.9773,-16.34889,0.14079,28.629,3,83.36086206896552,34,92188
3.97601,-16.34971,0.14532,28.64023,3,83.28275862068966,34,92189
3.97537,-16.34971,0.14985,28.629,3,83.2046551724138,34,92190
3.97408,-16.34971,0.15441,28.8424,3,83.12603448275861,34,92191
3.97279,-16.34971,0.15896,28.85363,3,83.04758620689657,34,92192
3.97214,-16.34971,0.16348,28.64023,3,82.9696551724138,34,92193
3.97086,-16.34971,0.16802,28.8424,3,82.89137931034483,34,92194
3.96957,-16.34971,0.17257,28.85363,3,82.81293103448274,34,92195
3.96892,-16.34971,0.17711,28.85363,3,82.7346551724138,34,92196
3.96763,-16.34971,0.18165,28.85363,3,82.65637931034483,34,92197
3.96635,-16.34971,0.1862,28.8424,3,82.57793103448275,34,92198
3.9657,-16.34971,0.1907599999999999,28.85363,3,82.49931034482759,34,92199
3.96441,-16.34971,0.19527,28.85363,3,82.42155172413794,34,92200
3.96377,-16.34889,0.19982,28.85363,3,82.34310344827587,34,92201
3.96248,-16.34889,0.20435,29.0558,3,82.265,34,92202
3.96119,-16.34889,0.2089,29.0558,3,82.18655172413794,34,92203
3.9599,-16.34889,0.21344,28.85363,3,82.10827586206896,34,92204
3.95862,-16.34889,0.21799,29.06703,3,82.02982758620689,34,92205
3.95797,-16.34971,0.22254,29.06703,3,81.95137931034482,34,92206
3.95668,-16.34971,0.2270599999999999,29.0558,3,81.87344827586207,34,92207
3.9554,-16.34971,0.23162,29.0558,3,81.79482758620689,34,92208
3.95475,-16.34971,0.23615,29.0558,3,81.71672413793102,34,92209
3.95346,-16.34971,0.2407,29.0558,3,81.63827586206897,34,92210
3.95217,-16.34971,0.24525,29.06703,3,81.5598275862069,34,92211
3.95089,-16.34971,0.24978,29.26919,3,81.48172413793102,34,92212
3.9496,-16.34971,0.25432,29.26919,3,81.40344827586208,34,92213
3.94831,-16.34889,0.25887,29.26919,3,81.325,34,92214
3.94766,-16.34889,0.26339,29.25796,3,81.24706896551723,34,92215
3.94638,-16.34889,0.26795,29.25796,3,81.16844827586208,34,92216
3.94509,-16.34889,0.27248,29.26919,3,81.09034482758621,34,92217
3.9438,-16.34971,0.27703,29.26919,3,81.01189655172415,34,92218
3.94316,-16.34971,0.28157,29.26919,3,80.93362068965517,34,92219
3.94187,-16.34971,0.2861,29.26919,3,80.85551724137932,34,92220
3.94058,-16.34971,0.29066,29.26919,3,80.77689655172414,34,92221
3.93929,-16.34971,0.2952,29.25796,3,80.69862068965517,34,92222
