Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.01242,-21.79915,0.00545,31.14501,4,88.45206896551723,6,11430
4.00469,-21.79915,0.01147,31.14501,4,88.34827586206896,6,11431
3.9989,-21.79915,0.01754,31.14501,4,88.24362068965516,6,11432
3.99375,-21.79997,0.02361,31.14501,4,88.13896551724137,6,11433
3.98924,-21.79997,0.02967,31.36859,4,88.03448275862068,6,11434
3.98603,-21.79997,0.03571,31.15619,4,87.9303448275862,6,11435
3.98281,-21.79997,0.04176,31.14501,4,87.8260344827586,6,11436
3.97959,-21.79997,0.04841,31.35741,4,87.71137931034482,6,11437
3.97637,-21.79915,0.05386,31.35741,4,87.61741379310344,6,11438
3.9738,-21.79915,0.05991,31.36859,4,87.51310344827584,6,11439
3.97122,-21.79915,0.06657,31.35741,4,87.39827586206896,6,11440
3.96929,-21.79997,0.0720399999999999,31.35741,4,87.30396551724137,6,11441
3.96672,-21.79997,0.07808,31.36859,4,87.1998275862069,6,11442
3.96479,-21.79997,0.08415,31.36859,4,87.0951724137931,6,11443
3.96286,-21.79997,0.0902,31.35741,4,86.9908620689655,6,11444
3.96092,-21.79997,0.09686,31.36859,4,86.87603448275861,6,11445
3.95835,-21.79915,0.1023299999999999,31.56981,4,86.78172413793102,6,11446
3.95642,-21.79915,0.10837,31.56981,4,86.67758620689655,6,11447
3.955130000000001,-21.79915,0.11442,31.56981,4,86.57327586206895,6,11448
3.9532,-21.79915,0.1205,31.56981,4,86.46844827586206,6,11449
3.95127,-21.79997,0.12653,31.56981,4,86.36448275862068,6,11450
3.949980000000001,-21.79997,0.1326,31.771040000000003,4,86.25982758620688,6,11451
3.94805,-21.79997,0.13924,31.771040000000003,4,86.1453448275862,6,11452
3.94676,-21.79997,0.14529,31.771040000000003,4,86.0410344827586,6,11453
3.944830000000001,-21.79915,0.1507599999999999,31.78222,4,85.94672413793103,6,11454
3.94355,-21.79915,0.15682,31.78222,4,85.84224137931034,6,11455
3.94226,-21.79915,0.16285,31.78222,4,85.73827586206896,6,11456
3.94033,-21.79915,0.16893,31.78222,4,85.63344827586207,6,11457
3.93904,-21.79915,0.175,31.99462,4,85.52879310344827,6,11458
3.93775,-21.79997,0.18104,31.98344,4,85.42465517241378,6,11459
3.93647,-21.79997,0.18711,31.98344,4,85.32,6,11460
3.93518,-21.79997,0.19316,31.98344,4,85.21568965517241,6,11461
3.93389,-21.79997,0.19921,31.99462,4,85.11137931034482,6,11462
3.9326,-21.79915,0.20528,32.20702,4,85.00672413793103,6,11463
3.93132,-21.79915,0.21131,32.20702,4,84.90275862068964,6,11464
3.92939,-21.79915,0.21739,32.195840000000004,4,84.79793103448274,6,11465
3.9281,-21.79997,0.2240199999999999,32.195840000000004,4,84.68362068965516,6,11466
3.92681,-21.79997,0.2294699999999999,32.20702,4,84.58965517241379,6,11467
3.92552,-21.79997,0.23556,32.20702,4,84.48465517241378,6,11468
3.92424,-21.79997,0.24218,32.40825,4,84.37051724137929,6,11469
3.92295,-21.79997,0.24764,32.41943,4,84.27637931034482,6,11470
3.92166,-21.79997,0.25371,32.40825,4,84.17172413793102,6,11471
3.92038,-21.79915,0.26035,32.41943,4,84.05724137931034,6,11472
3.91909,-21.79915,0.26582,32.4306,4,83.96293103448275,6,11473
3.91716,-21.79915,0.27246,32.41943,4,83.84844827586207,6,11474
3.91587,-21.79915,0.27791,32.62065,4,83.75448275862067,6,11475
3.91458,-21.79915,0.28458,32.62065,4,83.63948275862067,6,11476
3.9133,-21.79915,0.29004,32.62065,4,83.54534482758619,6,11477
3.91201,-21.79997,0.2961,32.62065,4,83.44086206896552,6,11478
3.91072,-21.79997,0.30217,32.62065,4,83.33620689655172,6,11479
3.90943,-21.79997,0.30822,32.62065,4,83.23189655172412,6,11480
3.90815,-21.79997,0.31485,32.62065,4,83.11758620689655,6,11481
3.90622,-21.79997,0.32032,32.821870000000004,4,83.02327586206896,6,11482
3.90493,-21.79915,0.32635,32.62065,4,82.91931034482758,6,11483
3.90364,-21.79915,0.33243,32.83305,4,82.81448275862068,6,11484
3.90235,-21.79915,0.33847,32.821870000000004,4,82.7103448275862,6,11485
3.90107,-21.79997,0.34452,32.821870000000004,4,82.6060344827586,6,11486
3.89978,-21.79997,0.35118,32.821870000000004,4,82.4912068965517,6,11487
3.89849,-21.79997,0.35666,32.821870000000004,4,82.39672413793103,6,11488
3.8972,-21.79997,0.3627,32.821870000000004,4,82.29258620689654,6,11489
3.89592,-21.79997,0.36875,32.821870000000004,4,82.18827586206895,6,11490
3.89463,-21.79915,0.37482,32.83305,4,82.08362068965518,6,11491
3.89334,-21.79915,0.38086,32.821870000000004,4,81.97948275862068,6,11492
3.89206,-21.79997,0.38692,33.034279999999995,4,81.87499999999999,6,11493
3.89077,-21.79997,0.39296,33.034279999999995,4,81.77086206896551,6,11494
3.88948,-21.79997,0.39963,33.034279999999995,4,81.6558620689655,6,11495
3.88819,-21.79997,0.4051,33.034279999999995,4,81.56155172413791,6,11496
3.88691,-21.79915,0.4117399999999999,33.034279999999995,4,81.44706896551723,6,11497
3.88626,-21.79915,0.4171899999999999,33.034279999999995,4,81.35310344827586,6,11498
3.88498,-21.79997,0.42385,33.04546,4,81.23827586206896,6,11499
3.88369,-21.79997,0.42931,33.034279999999995,4,81.14413793103446,6,11500
3.8824,-21.79997,0.43596,33.034279999999995,4,81.02948275862069,6,11501
3.88176,-21.79915,0.4420199999999999,33.034279999999995,4,80.92499999999998,6,11502
3.88047,-21.79915,0.44746,33.04546,4,80.8312068965517,6,11503
3.87918,-21.79997,0.45353,33.04546,4,80.72655172413792,6,11504
3.87854,-21.79997,0.46018,33.034279999999995,4,80.61189655172413,6,11505
3.87725,-21.79997,0.46566,33.04546,4,80.51741379310344,6,11506
3.87596,-21.79915,0.4716899999999999,33.034279999999995,4,80.41344827586207,6,11507
3.87468,-21.79915,0.4777399999999999,33.034279999999995,4,80.30913793103447,6,11508
3.87403,-21.79915,0.48381,33.034279999999995,4,80.20448275862068,6,11509
3.87275,-21.79997,0.48988,33.034279999999995,4,80.09982758620689,6,11510
3.8721,-21.79997,0.49593,33.034279999999995,4,79.99551724137929,6,11511
3.87082,-21.79915,0.50198,33.04546,4,79.89120689655172,6,11512
3.87017,-21.79915,0.50862,33.034279999999995,4,79.77672413793104,6,11513
3.86888,-21.79915,0.51408,33.034279999999995,4,79.68258620689654,6,11514
3.86824,-21.79997,0.52073,33.04546,4,79.56793103448274,6,11515
3.86695,-21.79997,0.5262100000000001,33.034279999999995,4,79.47344827586207,6,11516
3.86631,-21.79997,0.53285,33.24668,4,79.35896551724137,6,11517
3.86502,-21.79915,0.5383,33.034279999999995,4,79.26499999999999,6,11518
3.86438,-21.79915,0.54496,33.034279999999995,4,79.1501724137931,6,11519
3.86309,-21.79997,0.5504,33.034279999999995,4,79.05637931034482,6,11520
3.86245,-21.79915,0.55706,33.034279999999995,4,78.94155172413792,6,11521
3.8618,-21.79997,0.5625399999999999,33.04546,4,78.84706896551722,6,11522
3.86116,-21.79997,0.5686,33.034279999999995,4,78.74258620689655,6,11523
3.85987,-21.79915,0.5746600000000001,33.25786,4,78.63810344827586,6,11524
3.85923,-21.79915,0.58129,33.04546,4,78.52379310344827,6,11525
3.85859,-21.79997,0.58735,33.24668,4,78.41931034482758,6,11526
3.85794,-21.79997,0.5934,33.24668,4,78.31499999999998,6,11527
3.85666,-21.79997,0.59885,33.034279999999995,4,78.22103448275861,6,11528
3.85601,-21.79915,0.60493,33.24668,4,78.1162068965517,6,11529
3.85537,-21.79915,0.61097,33.24668,4,78.01206896551723,6,11530
3.85408,-21.79915,0.6170399999999999,33.24668,4,77.90741379310343,6,11531
3.85344,-21.79997,0.62367,33.2355,4,77.79310344827586,6,11532
3.85279,-21.79997,0.62912,33.034279999999995,4,77.69913793103447,6,11533
3.85215,-21.79997,0.63522,33.24668,4,77.59396551724136,6,11534
3.85151,-21.79915,0.64126,33.034279999999995,4,77.48982758620689,6,11535
3.85086,-21.79915,0.6472899999999999,33.04546,4,77.38586206896551,6,11536
3.84958,-21.79997,0.6533800000000001,33.2355,4,77.2808620689655,6,11537
3.84893,-21.79997,0.6594300000000001,33.24668,4,77.17655172413792,6,11538
3.84829,-21.79997,0.6654899999999999,33.04546,4,77.07206896551723,6,11539
3.84764,-21.79915,0.6721199999999999,33.034279999999995,4,76.95775862068965,6,11540
3.847,-21.79915,0.67818,33.034279999999995,4,76.85327586206895,6,11541
3.84636,-21.79915,0.68423,33.10135,4,76.74896551724136,6,11542
3.84571,-21.79997,0.69029,33.25786,4,76.64448275862067,6,11543
3.844430000000001,-21.79997,0.69576,33.24668,4,76.55017241379309,6,11544
3.84378,-21.79915,0.7017899999999999,33.24668,4,76.44620689655171,6,11545
3.84314,-21.79915,0.70845,33.24668,4,76.33137931034481,6,11546
3.8425,-21.79915,0.7139,33.04546,4,76.23741379310344,6,11547
3.84185,-21.79997,0.7199800000000001,33.24668,4,76.13258620689653,6,11548
3.84121,-21.79997,0.7266199999999999,33.24668,4,76.01810344827587,6,11549
3.83992,-21.79997,0.7321,33.24668,4,75.92362068965517,6,11550
3.839280000000001,-21.79997,0.73873,33.24668,4,75.80931034482757,6,11551
3.83863,-21.79915,0.74479,33.24668,4,75.70482758620689,6,11552
3.83799,-21.79915,0.75026,33.04546,4,75.6105172413793,6,11553
3.83735,-21.79997,0.75632,33.034279999999995,4,75.50603448275861,6,11554
3.8367,-21.79997,0.76236,33.24668,4,75.40189655172412,6,11555
3.83606,-21.79997,0.76841,33.25786,4,75.29758620689654,6,11556
3.83542,-21.79915,0.7750600000000001,33.24668,4,75.18293103448275,6,11557
3.834130000000001,-21.79915,0.78052,33.04546,4,75.08879310344827,6,11558
3.83348,-21.79915,0.7866,33.034279999999995,4,74.98396551724137,6,11559
3.83284,-21.79915,0.79265,33.034279999999995,4,74.87965517241378,6,11560
3.8322,-21.79997,0.7986800000000001,33.034279999999995,4,74.7756896551724,6,11561
3.83155,-21.79997,0.80475,33.04546,4,74.6710344827586,6,11562
3.83091,-21.79997,0.81081,33.034279999999995,4,74.56655172413792,6,11563
3.83027,-21.79915,0.81686,33.034279999999995,4,74.46224137931033,6,11564
3.82962,-21.79915,0.8229,33.24668,4,74.35810344827586,6,11565
3.828980000000001,-21.79997,0.8289700000000001,33.034279999999995,4,74.25344827586207,6,11566
3.82769,-21.79997,0.8350299999999999,33.04546,4,74.14896551724138,6,11567
3.82769,-21.79997,0.8410799999999999,33.24668,4,74.04465517241378,6,11568
3.8264,-21.79915,0.84716,33.034279999999995,4,73.93982758620689,6,11569
3.82576,-21.79915,0.8532,33.24668,4,73.8356896551724,6,11570
3.82512,-21.79915,0.85926,33.04546,4,73.73120689655173,6,11571
3.82447,-21.79997,0.8653,33.24668,4,73.62706896551722,6,11572
3.823830000000001,-21.79997,0.87136,33.24668,4,73.52258620689655,6,11573
3.82254,-21.79915,0.8774299999999999,33.24668,4,73.41793103448275,6,11574
3.8219,-21.79915,0.8840600000000001,33.24668,4,73.30362068965516,6,11575
3.82126,-21.79997,0.8895299999999999,33.24668,4,73.20931034482759,6,11576
3.82061,-21.79997,0.8955799999999999,33.25786,4,73.10499999999999,6,11577
3.81997,-21.79997,0.90164,33.2355,4,73.00051724137931,6,11578
3.81932,-21.79915,0.9077,33.24668,4,72.89603448275861,6,11579
3.81868,-21.79915,0.91374,33.24668,4,72.79189655172412,6,11580
3.81804,-21.79997,0.9198,33.24668,4,72.68741379310345,6,11581
3.81739,-21.79997,0.92585,33.24668,4,72.58310344827586,6,11582
3.81675,-21.79915,0.93193,33.24668,4,72.47827586206895,6,11583
3.81611,-21.79915,0.93856,33.24668,4,72.36396551724137,6,11584
3.81546,-21.79915,0.94402,33.24668,4,72.26982758620689,6,11585
3.81482,-21.79997,0.95006,33.24668,4,72.16568965517241,6,11586
3.81418,-21.79997,0.95614,33.24668,4,72.06086206896549,6,11587
3.81353,-21.79915,0.96219,33.24668,4,71.95655172413792,6,11588
3.81289,-21.79915,0.96883,33.24668,4,71.84206896551724,6,11589
3.81225,-21.79997,0.9743,33.45908,4,71.74775862068964,6,11590
3.8116,-21.79997,0.98035,33.45908,4,71.64344827586204,6,11591
3.81096,-21.79915,0.987,33.45908,4,71.52879310344827,6,11592
3.81031,-21.79915,0.99306,33.4479,4,71.42431034482759,6,11593
3.80967,-21.79915,0.99911,33.45908,4,71.32,6,11594
3.80903,-21.79997,1.00457,33.4479,4,71.2258620689655,6,11595
3.80838,-21.79997,1.01062,33.45908,4,71.12155172413792,6,11596
3.80774,-21.79915,1.01728,33.45908,4,71.00672413793102,6,11597
3.8071,-21.79915,1.02275,33.45908,4,70.91241379310344,6,11598
3.80645,-21.79997,1.0288,33.45908,4,70.80810344827586,6,11599
3.80581,-21.79997,1.03486,33.45908,4,70.70362068965515,6,11600
3.80517,-21.79915,1.0415,33.45908,4,70.58913793103447,6,11601
3.80452,-21.79915,1.0469700000000002,33.45908,4,70.4948275862069,6,11602
3.80323,-21.79997,1.05301,33.4479,4,70.39068965517241,6,11603
3.80259,-21.79997,1.05908,33.66031,4,70.28603448275861,6,11604
3.80195,-21.79915,1.06513,33.66031,4,70.18172413793103,6,11605
3.8013,-21.79915,1.07119,33.66031,4,70.07724137931032,6,11606
3.80066,-21.79915,1.0778299999999998,33.66031,4,69.96275862068966,6,11607
3.80002,-21.79997,1.08389,33.66031,4,69.85827586206895,6,11608
3.79937,-21.79997,1.08936,33.66031,4,69.76396551724136,6,11609
3.79873,-21.79915,1.0954,33.66031,4,69.65982758620689,6,11610
3.79809,-21.79915,1.10205,33.88389,4,69.5451724137931,6,11611
3.79744,-21.79997,1.1075,33.66031,4,69.45120689655172,6,11612
3.7968,-21.79997,1.11359,33.671490000000006,4,69.3462068965517,6,11613
3.7968,-21.79915,1.11964,33.87271,4,69.24189655172412,6,11614
3.79551,-21.79915,1.1256700000000002,33.87271,4,69.13793103448275,6,11615
3.79487,-21.79997,1.13174,33.87271,4,69.03327586206896,6,11616
3.79422,-21.79997,1.13779,33.87271,4,68.92896551724138,6,11617
3.79358,-21.79997,1.14385,33.88389,4,68.82448275862069,6,11618
3.79294,-21.79915,1.14989,33.87271,4,68.72034482758619,6,11619
