Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.01821,-21.79997,0.00606,32.37471,4,86.8794827586207,41,90202
4.0111300000000005,-21.79915,0.01214,32.40825,4,86.7746551724138,41,90203
4.00598,-21.79915,0.01819,32.20702,4,86.67034482758622,41,90204
4.0008300000000006,-21.79915,0.02422,32.195840000000004,4,86.56637931034484,41,90205
3.99632,-21.79915,0.03028,32.41943,4,86.46189655172414,41,90206
3.99246,-21.79997,0.03635,32.20702,4,86.35724137931035,41,90207
3.98924,-21.79997,0.04241,32.41943,4,86.25275862068965,41,90208
3.98603,-21.79997,0.04844,32.41943,4,86.14879310344827,41,90209
3.98345,-21.79997,0.05452,32.41943,4,86.04396551724139,41,90210
3.98023,-21.79997,0.06055,32.41943,4,85.94,41,90211
3.97766,-21.79997,0.06663,32.40825,4,85.8351724137931,41,90212
3.97508,-21.79997,0.07269,32.40825,4,85.73068965517241,41,90213
3.97315,-21.79915,0.07871,32.41943,4,85.62689655172413,41,90214
3.97058,-21.79915,0.08478,32.41943,4,85.52224137931033,41,90215
3.96865,-21.79915,0.09084,32.41943,4,85.41775862068965,41,90216
3.96607,-21.79915,0.0969,32.41943,4,85.31327586206896,41,90217
3.96479,-21.79997,0.10294,32.62065,4,85.20913793103448,41,90218
3.96286,-21.79915,0.10899,32.62065,4,85.1048275862069,41,90219
3.96092,-21.79915,0.11507,32.63183,4,85.0,41,90220
3.95899,-21.79997,0.1211,32.63183,4,84.89603448275862,41,90221
3.95706,-21.79997,0.12718,32.62065,4,84.79120689655173,41,90222
3.955130000000001,-21.79997,0.13322,32.62065,4,84.68706896551724,41,90223
3.95384,-21.79997,0.13929,32.62065,4,84.58241379310344,41,90224
3.95191,-21.79997,0.14534,32.63183,4,84.47810344827586,41,90225
3.95063,-21.79997,0.15139,32.83305,4,84.37379310344828,41,90226
3.9487,-21.79915,0.15744,32.83305,4,84.26948275862068,41,90227
3.94741,-21.79915,0.16349,32.83305,4,84.1651724137931,41,90228
3.94548,-21.79915,0.16957,32.83305,4,84.0603448275862,41,90229
3.94419,-21.79915,0.17561,33.034279999999995,4,83.95620689655173,41,90230
3.9429,-21.79915,0.18169,33.04546,4,83.85137931034484,41,90231
3.94162,-21.79915,0.18772,33.034279999999995,4,83.74741379310345,41,90232
