Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.0385,-16.34889,0.0045299999999999,28.42683,3,85.7305172413793,32,86584
4.0327,-16.34889,0.00907,28.42683,3,85.65224137931033,32,86585
4.02819,-16.34971,0.0136099999999999,28.22467,3,85.57396551724138,32,86586
4.02432,-16.34971,0.01815,28.42683,3,85.49568965517241,32,86587
4.0211,-16.34971,0.0227199999999999,28.42683,3,85.41689655172414,32,86588
4.01788,-16.34971,0.02725,28.21344,3,85.33879310344827,32,86589
4.01531,-16.34971,0.03179,28.22467,3,85.2605172413793,32,86590
4.01273,-16.34889,0.03633,28.42683,3,85.18224137931033,32,86591
4.01015,-16.34889,0.04086,28.42683,3,85.10413793103447,32,86592
4.00758,-16.34889,0.04542,28.42683,3,85.0255172413793,32,86593
4.0056400000000005,-16.34889,0.04994,28.42683,3,84.94758620689655,32,86594
4.00371,-16.34971,0.0545,28.22467,3,84.86896551724138,32,86595
4.00178,-16.34971,0.0590299999999999,28.42683,3,84.79086206896551,32,86596
3.99984,-16.34889,0.06356,28.43807,3,84.71275862068966,32,86597
3.99856,-16.34889,0.0681,28.43807,3,84.63448275862068,32,86598
3.99662,-16.34971,0.07266,28.42683,3,84.55586206896551,32,86599
3.99534,-16.34889,0.0772,28.42683,3,84.47758620689653,32,86600
3.99405,-16.34971,0.08173,28.42683,3,84.39948275862068,32,86601
3.99211,-16.34889,0.08628,28.42683,3,84.32103448275862,32,86602
3.99083,-16.34971,0.09083,28.42683,3,84.24258620689653,32,86603
3.98954,-16.34971,0.09537,28.42683,3,84.16431034482758,32,86604
3.98825,-16.34971,0.0998899999999999,28.42683,3,84.08637931034482,32,86605
3.98696,-16.34971,0.10444,28.629,3,84.00793103448275,32,86606
3.98567,-16.34889,0.109,28.629,3,83.92931034482758,32,86607
3.98438,-16.34971,0.1135299999999999,28.629,3,83.85120689655173,32,86608
3.9831,-16.34889,0.1180799999999999,28.629,3,83.77275862068964,32,86609
3.98181,-16.34971,0.12261,28.629,3,83.69465517241379,32,86610
3.98052,-16.34889,0.12716,28.629,3,83.61620689655173,32,86611
3.97987,-16.34971,0.13168,28.64023,3,83.53827586206896,32,86612
3.97859,-16.34971,0.13625,28.629,3,83.45948275862068,32,86613
3.9773,-16.34889,0.14079,28.64023,3,83.38120689655173,32,86614
3.97665,-16.34889,0.14532,28.629,3,83.30310344827586,32,86615
3.97537,-16.34971,0.14987,28.85363,3,83.22465517241379,32,86616
3.97408,-16.34971,0.1544,28.71885,3,83.14655172413794,32,86617
3.97279,-16.34889,0.15894,28.8424,3,83.06827586206896,32,86618
3.97214,-16.34971,0.16349,28.85363,3,82.98982758620689,32,86619
3.97086,-16.34889,0.16804,28.85363,3,82.91137931034481,32,86620
3.96957,-16.34889,0.17257,28.8424,3,82.83327586206896,32,86621
3.96892,-16.34889,0.1771,28.85363,3,82.7551724137931,32,86622
3.96763,-16.34889,0.18166,28.85363,3,82.67655172413794,32,86623
3.96699,-16.34971,0.1862,28.8424,3,82.59827586206896,32,86624
3.9657,-16.34971,0.19074,28.85363,3,82.52,32,86625
3.96441,-16.34889,0.19527,28.8424,3,82.44189655172414,32,86626
3.96377,-16.34971,0.19983,29.0558,3,82.36327586206896,32,86627
3.96248,-16.34971,0.20435,29.0558,3,82.28534482758621,32,86628
3.96119,-16.34971,0.2089099999999999,29.0558,3,82.20672413793105,32,86629
3.9599,-16.34889,0.21343,29.06703,3,82.12879310344827,32,86630
3.95862,-16.34889,0.2179699999999999,29.0558,3,82.0505172413793,32,86631
3.95797,-16.34889,0.22254,29.0558,3,81.97172413793102,32,86632
3.95668,-16.34971,0.2270599999999999,29.06703,3,81.89379310344827,32,86633
3.95604,-16.34889,0.23162,29.0558,3,81.81517241379309,32,86634
3.95475,-16.34971,0.23615,29.0558,3,81.73706896551724,32,86635
3.95346,-16.34971,0.24068,29.0558,3,81.65896551724137,32,86636
3.95217,-16.34971,0.24524,29.04456,3,81.5803448275862,32,86637
3.95089,-16.34889,0.24977,29.25796,3,81.50224137931035,32,86638
3.9496,-16.34971,0.25433,29.26919,3,81.42362068965517,32,86639
3.94831,-16.34971,0.25886,29.25796,3,81.3455172413793,32,86640
3.94766,-16.34971,0.2634,29.25796,3,81.26724137931033,32,86641
3.94638,-16.34889,0.26796,29.25796,3,81.18862068965518,32,86642
3.94509,-16.34889,0.27249,29.25796,3,81.1105172413793,32,86643
3.94444,-16.34889,0.27703,29.25796,3,81.03224137931034,32,86644
3.94316,-16.34971,0.28156,29.25796,3,80.95413793103448,32,86645
3.94187,-16.34889,0.28609,29.25796,3,80.87603448275863,32,86646
3.94058,-16.34889,0.29065,29.25796,3,80.79741379310344,32,86647
3.93929,-16.34971,0.29519,29.25796,3,80.71913793103448,32,86648
3.938,-16.34889,0.29974,29.47136,3,80.64068965517241,32,86649
3.93736,-16.34889,0.30426,29.47136,3,80.56275862068965,32,86650
3.93607,-16.34889,0.30881,29.47136,3,80.48431034482758,32,86651
3.93478,-16.34971,0.31337,29.47136,3,80.40568965517241,32,86652
3.93349,-16.34889,0.3179099999999999,29.46013,3,80.32741379310345,32,86653
3.93285,-16.34889,0.32243,29.47136,3,80.24948275862069,32,86654
3.93156,-16.34889,0.32697,29.48259,3,80.17120689655171,32,86655
3.93027,-16.34889,0.33153,29.46013,3,80.09258620689656,32,86656
3.92898,-16.34971,0.33605,29.46013,3,80.01465517241378,32,86657
3.92769,-16.34971,0.34059,29.47136,3,79.93637931034482,32,86658
3.92705,-16.34889,0.34514,29.46013,3,79.85793103448276,32,86659
3.92576,-16.34971,0.3497,29.46013,3,79.77931034482758,32,86660
3.92447,-16.34971,0.35423,29.46013,3,79.70120689655171,32,86661
