Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.01242,-21.79997,0.00604,31.98344,4,87.34379310344829,29,63394
4.00469,-21.79915,0.01211,32.20702,4,87.23913793103449,29,63395
3.99954,-21.79915,0.01817,31.98344,4,87.1346551724138,29,63396
3.99568,-21.79915,0.02421,31.98344,4,87.03051724137931,29,63397
3.99182,-21.79997,0.03028,32.195840000000004,4,86.92586206896551,29,63398
3.98796,-21.79915,0.03634,32.20702,4,86.82137931034482,29,63399
3.98474,-21.79915,0.04239,32.195840000000004,4,86.71706896551724,29,63400
3.98216,-21.79915,0.04844,32.20702,4,86.61275862068966,29,63401
3.97895,-21.79997,0.0545,32.20702,4,86.50827586206897,29,63402
3.97637,-21.79997,0.06054,32.20702,4,86.40413793103448,29,63403
3.9738,-21.79997,0.06661,32.20702,4,86.2994827586207,29,63404
3.97187,-21.79915,0.07264,32.20702,4,86.19551724137932,29,63405
3.96929,-21.79915,0.0787,32.20702,4,86.09103448275862,29,63406
3.96672,-21.79915,0.08476,32.20702,4,85.98655172413793,29,63407
3.96479,-21.79997,0.09083,32.20702,4,85.88189655172413,29,63408
3.96286,-21.79997,0.09686,32.20702,4,85.77793103448275,29,63409
3.96092,-21.79915,0.10294,32.41943,4,85.67310344827587,29,63410
3.95899,-21.79915,0.10899,32.40825,4,85.56879310344827,29,63411
3.95642,-21.79915,0.11505,32.41943,4,85.46431034482758,29,63412
3.955130000000001,-21.79997,0.12108,32.41943,4,85.3603448275862,29,63413
3.9532,-21.79997,0.12716,32.41943,4,85.25551724137931,29,63414
3.95127,-21.79997,0.13322,32.40825,4,85.15103448275863,29,63415
3.949980000000001,-21.79997,0.13925,32.62065,4,85.04706896551725,29,63416
3.9487,-21.79915,0.14534,32.62065,4,84.94206896551724,29,63417
3.94676,-21.79915,0.15136,32.62065,4,84.83827586206895,29,63418
3.94548,-21.79915,0.15742,32.62065,4,84.73379310344828,29,63419
3.94419,-21.79915,0.16348,32.83305,4,84.62931034482759,29,63420
3.94226,-21.79997,0.16955,32.62065,4,84.5246551724138,29,63421
3.94097,-21.79997,0.1756,32.83305,4,84.4203448275862,29,63422
3.93968,-21.79997,0.18167,32.62065,4,84.31568965517242,29,63423
3.93775,-21.79997,0.18772,32.821870000000004,4,84.21137931034484,29,63424
