Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.0385,-16.34971,0.00452,28.42683,3,85.6505172413793,38,103300
4.0327,-16.34971,0.00907,28.22467,3,85.57206896551723,38,103301
4.02819,-16.34889,0.01359,28.21344,3,85.49413793103449,38,103302
4.02432,-16.34889,0.01814,28.22467,3,85.41568965517241,38,103303
4.02046,-16.34971,0.02268,28.22467,3,85.33741379310344,38,103304
4.01788,-16.34971,0.02723,28.21344,3,85.25896551724138,38,103305
4.01531,-16.34971,0.03178,28.21344,3,85.1805172413793,38,103306
4.01208,-16.34889,0.03631,28.21344,3,85.10241379310344,38,103307
4.01015,-16.34971,0.04085,28.22467,3,85.02413793103449,38,103308
4.00758,-16.34889,0.04541,28.42683,3,84.9455172413793,38,103309
4.0056400000000005,-16.34889,0.04995,28.21344,3,84.86724137931036,38,103310
4.00371,-16.34889,0.0544799999999999,28.42683,3,84.78913793103449,38,103311
4.00178,-16.34971,0.05901,28.43807,3,84.71103448275862,38,103312
3.99984,-16.34889,0.06355,28.42683,3,84.63275862068964,38,103313
3.99791,-16.34889,0.0681,28.42683,3,84.55431034482758,38,103314
3.99662,-16.34889,0.07265,28.4156,3,84.47586206896551,38,103315
3.99534,-16.34971,0.0772,28.42683,3,84.39741379310344,38,103316
3.9934,-16.34971,0.08173,28.43807,3,84.31931034482758,38,103317
3.99211,-16.34971,0.08626,28.42683,3,84.24120689655172,38,103318
3.990180000000001,-16.34971,0.09081,28.42683,3,84.16275862068964,38,103319
3.98889,-16.34889,0.09535,28.42683,3,84.0844827586207,38,103320
3.98825,-16.34971,0.0999,28.4156,3,84.00603448275862,38,103321
3.98696,-16.34889,0.10444,28.42683,3,83.92775862068964,38,103322
3.98567,-16.34889,0.10897,28.629,3,83.84965517241379,38,103323
3.98438,-16.34889,0.11352,28.64023,3,83.77120689655172,38,103324
3.9831,-16.34971,0.1180599999999999,28.64023,3,83.69293103448275,38,103325
3.98181,-16.34889,0.1226,28.629,3,83.61465517241379,38,103326
3.98052,-16.34889,0.12715,28.64023,3,83.53620689655172,38,103327
3.97923,-16.34971,0.13168,28.64023,3,83.45810344827586,38,103328
3.97859,-16.34971,0.13622,28.629,3,83.3798275862069,38,103329
3.9773,-16.34889,0.14077,28.629,3,83.30137931034483,38,103330
3.97601,-16.34971,0.1453,28.629,3,83.22327586206897,38,103331
3.97472,-16.34971,0.14984,28.64023,3,83.145,38,103332
3.97408,-16.34971,0.1544,28.64023,3,83.06637931034483,38,103333
3.97279,-16.34971,0.15892,28.629,3,82.98844827586207,38,103334
3.9715,-16.34889,0.16346,28.8424,3,82.9101724137931,38,103335
3.97021,-16.34971,0.168,28.629,3,82.83189655172413,38,103336
3.96957,-16.34889,0.17255,28.8424,3,82.75344827586207,38,103337
3.968280000000001,-16.34971,0.17709,28.85363,3,82.6751724137931,38,103338
3.96763,-16.34889,0.18164,28.85363,3,82.59672413793103,38,103339
3.96635,-16.34889,0.18619,28.85363,3,82.51827586206896,38,103340
3.96506,-16.34971,0.1907299999999999,28.8424,3,82.43999999999998,38,103341
3.96441,-16.34971,0.19527,28.8424,3,82.36172413793103,38,103342
3.963130000000001,-16.34971,0.19981,28.85363,3,82.28344827586207,38,103343
3.96184,-16.34889,0.20435,29.0558,3,82.20517241379311,38,103344
3.96055,-16.34971,0.20889,28.8424,3,82.12689655172413,38,103345
3.95926,-16.34889,0.2134199999999999,29.0558,3,82.04879310344828,38,103346
3.95862,-16.34971,0.21796,29.06703,3,81.97051724137931,38,103347
3.95733,-16.34971,0.22253,29.06703,3,81.89172413793104,38,103348
3.95668,-16.34971,0.22705,29.0558,3,81.81379310344828,38,103349
3.9554,-16.34889,0.23159,29.06703,3,81.73551724137931,38,103350
3.95411,-16.34971,0.23613,29.0558,3,81.65724137931034,38,103351
3.95346,-16.34971,0.24069,29.06703,3,81.57862068965518,38,103352
3.95217,-16.34889,0.24522,29.0558,3,81.50051724137931,38,103353
3.95024,-16.34889,0.24975,29.0558,3,81.42241379310344,38,103354
3.94895,-16.34889,0.25431,29.26919,3,81.34379310344828,38,103355
3.94831,-16.34889,0.25884,29.25796,3,81.26568965517241,38,103356
3.94702,-16.34889,0.26338,29.28042,3,81.18741379310345,38,103357
3.94573,-16.34889,0.26793,29.26919,3,81.10896551724139,38,103358
3.94509,-16.34971,0.27246,29.28042,3,81.03086206896553,38,103359
3.9438,-16.34889,0.27701,29.25796,3,80.95241379310345,38,103360
