Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.0098400000000005,-21.79997,0.00603,31.98344,4,87.39,28,61152
4.0034,-21.79997,0.01211,31.99462,4,87.2851724137931,28,61153
3.99826,-21.79997,0.01817,31.98344,4,87.18068965517242,28,61154
3.99375,-21.79915,0.02419,31.99462,4,87.07689655172413,28,61155
3.98924,-21.79915,0.03026,31.98344,4,86.97224137931035,28,61156
3.98603,-21.79915,0.03633,32.195840000000004,4,86.86758620689655,28,61157
3.98216,-21.79915,0.04239,32.195840000000004,4,86.76310344827587,28,61158
3.97895,-21.79915,0.04844,31.98344,4,86.65879310344828,28,61159
3.97637,-21.79997,0.0544799999999999,32.195840000000004,4,86.5546551724138,28,61160
3.9738,-21.79997,0.06055,32.195840000000004,4,86.45,28,61161
3.97122,-21.79915,0.0666,32.20702,4,86.34568965517242,28,61162
3.96865,-21.79915,0.07264,32.20702,4,86.24155172413793,28,61163
3.96607,-21.79915,0.07871,32.20702,4,86.13689655172413,28,61164
3.96414,-21.79915,0.08477,32.195840000000004,4,86.03241379310346,28,61165
3.96221,-21.79997,0.09083,32.20702,4,85.92793103448275,28,61166
3.960280000000001,-21.79997,0.09689,32.20702,4,85.82344827586208,28,61167
3.95835,-21.79997,0.10292,32.20702,4,85.71948275862069,28,61168
3.95578,-21.79997,0.10899,32.20702,4,85.6148275862069,28,61169
3.95449,-21.79915,0.11504,32.40825,4,85.51051724137932,28,61170
3.95256,-21.79915,0.12112,32.41943,4,85.40568965517241,28,61171
3.95063,-21.79915,0.12713,32.41943,4,85.30206896551725,28,61172
3.94934,-21.79915,0.13321,32.40825,4,85.19724137931034,28,61173
3.94741,-21.79915,0.13925,32.41943,4,85.09310344827587,28,61174
3.94612,-21.79997,0.1453,32.41943,4,84.98879310344829,28,61175
3.944830000000001,-21.79997,0.15136,32.41943,4,84.88431034482758,28,61176
3.94355,-21.79997,0.15743,32.62065,4,84.7796551724138,28,61177
3.94162,-21.79997,0.16349,32.63183,4,84.6751724137931,28,61178
3.94033,-21.79915,0.16955,32.62065,4,84.57068965517242,28,61179
3.93904,-21.79915,0.1756,32.62065,4,84.46637931034482,28,61180
3.93711,-21.79915,0.18165,32.63183,4,84.36206896551724,28,61181
3.93582,-21.79915,0.18769,32.63183,4,84.25793103448277,28,61182
3.93454,-21.79915,0.19377,32.83305,4,84.15310344827587,28,61183
3.93325,-21.79915,0.19982,32.83305,4,84.04879310344828,28,61184
3.93196,-21.79997,0.2058699999999999,32.83305,4,83.9444827586207,28,61185
3.93067,-21.79915,0.21193,32.821870000000004,4,83.84000000000002,28,61186
3.92874,-21.79997,0.21798,32.83305,4,83.73568965517242,28,61187
3.92746,-21.79915,0.22403,32.83305,4,83.63137931034483,28,61188
3.92617,-21.79915,0.23008,33.034279999999995,4,83.52706896551724,28,61189
3.92488,-21.79997,0.23615,33.04546,4,83.42241379310344,28,61190
3.92359,-21.79997,0.24222,33.034279999999995,4,83.31775862068967,28,61191
3.92231,-21.79997,0.24827,33.034279999999995,4,83.21344827586208,28,61192
3.92102,-21.79915,0.2543,33.04546,4,83.1094827586207,28,61193
3.91973,-21.79997,0.26038,33.04546,4,83.0046551724138,28,61194
3.9178,-21.79997,0.26642,33.25786,4,82.9005172413793,28,61195
3.91651,-21.79997,0.27249,33.24668,4,82.7958620689655,28,61196
3.91523,-21.79915,0.27854,33.24668,4,82.69155172413794,28,61197
3.91394,-21.79997,0.28459,33.25786,4,82.58724137931036,28,61198
3.91265,-21.79915,0.29064,33.24668,4,82.48293103448276,28,61199
3.91072,-21.79915,0.29671,33.24668,4,82.37827586206896,28,61200
3.90943,-21.79915,0.30277,33.24668,4,82.27379310344828,28,61201
3.90815,-21.79915,0.3088,33.45908,4,82.1698275862069,28,61202
3.90686,-21.79915,0.31485,33.45908,4,82.06551724137931,28,61203
3.90493,-21.79997,0.32094,33.45908,4,81.9605172413793,28,61204
3.90428,-21.79915,0.32697,33.45908,4,81.85655172413793,28,61205
3.903,-21.79915,0.33305,33.45908,4,81.75172413793103,28,61206
3.90107,-21.79915,0.3391099999999999,33.47026,4,81.64724137931036,28,61207
3.90042,-21.79915,0.34514,33.45908,4,81.54327586206897,28,61208
3.89849,-21.79997,0.3512,33.47026,4,81.43879310344828,28,61209
3.8972,-21.79997,0.35725,33.45908,4,81.33448275862071,28,61210
