Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.0385,-16.34971,0.00455,28.42683,3,85.65275862068965,37,100513
4.0327,-16.34971,0.00909,28.4156,3,85.5744827586207,37,100514
4.02819,-16.34971,0.01364,28.4156,3,85.49603448275863,37,100515
4.02432,-16.34889,0.01817,28.42683,3,85.41793103448276,37,100516
4.02046,-16.34889,0.0227199999999999,28.4156,3,85.3394827586207,37,100517
4.01788,-16.34971,0.02725,28.42683,3,85.26137931034482,37,100518
4.01531,-16.34889,0.03179,28.42683,3,85.18310344827587,37,100519
4.01208,-16.34971,0.03633,28.4156,3,85.1048275862069,37,100520
4.01015,-16.34971,0.04086,28.42683,3,85.02672413793103,37,100521
4.00758,-16.34889,0.04542,28.42683,3,84.94810344827587,37,100522
4.0056400000000005,-16.34889,0.04997,28.42683,3,84.86965517241379,37,100523
4.00371,-16.34889,0.0545,28.43807,3,84.79155172413793,37,100524
4.00178,-16.34889,0.05905,28.4156,3,84.71310344827587,37,100525
3.99984,-16.34971,0.06359,28.4156,3,84.63482758620691,37,100526
3.99791,-16.34971,0.06813,28.42683,3,84.55655172413793,37,100527
3.99662,-16.34971,0.07268,28.4156,3,84.47810344827586,37,100528
3.99534,-16.34889,0.0772,28.43807,3,84.4001724137931,37,100529
3.9934,-16.34889,0.08175,28.42683,3,84.32172413793103,37,100530
3.99211,-16.34889,0.0863,28.42683,3,84.24327586206897,37,100531
3.990180000000001,-16.34971,0.09083,28.42683,3,84.1651724137931,37,100532
3.98954,-16.34971,0.09537,28.4156,3,84.08689655172414,37,100533
3.98825,-16.34971,0.09991,28.42683,3,84.00862068965516,37,100534
3.98696,-16.34971,0.10445,28.42683,3,83.93034482758621,37,100535
3.98567,-16.34971,0.109,28.629,3,83.85189655172414,37,100536
3.98438,-16.34971,0.11354,28.629,3,83.77362068965516,37,100537
3.9831,-16.34971,0.11809,28.64023,3,83.6951724137931,37,100538
