Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.0385,-16.34971,0.00456,28.42683,3,85.93672413793105,21,55925
4.0327,-16.34971,0.0091,28.2359,3,85.85844827586207,21,55926
4.02883,-16.34971,0.01364,28.21344,3,85.78017241379312,21,55927
4.02497,-16.34971,0.01816,28.22467,3,85.70224137931035,21,55928
4.0211,-16.34889,0.02271,28.22467,3,85.62379310344829,21,55929
4.01853,-16.34889,0.02725,28.21344,3,85.54551724137932,21,55930
4.01531,-16.34889,0.03178,28.21344,3,85.46741379310345,21,55931
4.01273,-16.34889,0.03634,28.4156,3,85.3887931034483,21,55932
4.01015,-16.34889,0.04086,28.42683,3,85.31086206896552,21,55933
4.00822,-16.34889,0.04542,28.4156,3,85.23224137931035,21,55934
4.00629,-16.34971,0.04996,28.43807,3,85.1539655172414,21,55935
4.00435,-16.34971,0.05451,28.43807,3,85.07551724137933,21,55936
4.00242,-16.34889,0.0590299999999999,28.4156,3,84.99758620689656,21,55937
4.00049,-16.34971,0.06357,28.4156,3,84.9193103448276,21,55938
3.99856,-16.34971,0.06812,28.42683,3,84.84086206896552,21,55939
3.99727,-16.34889,0.07267,28.43807,3,84.76241379310346,21,55940
3.99598,-16.34971,0.07722,28.42683,3,84.68396551724139,21,55941
3.99405,-16.34889,0.08175,28.42683,3,84.60586206896552,21,55942
3.99276,-16.34971,0.0862899999999999,28.42683,3,84.52758620689656,21,55943
3.99147,-16.34889,0.09083,28.42683,3,84.44931034482758,21,55944
3.98954,-16.34889,0.09536,28.42683,3,84.37120689655173,21,55945
3.98889,-16.34971,0.09991,28.42683,3,84.29275862068967,21,55946
3.98761,-16.34971,0.10446,28.42683,3,84.21431034482758,21,55947
3.98632,-16.34889,0.109,28.629,3,84.13603448275863,21,55948
3.98503,-16.34971,0.11355,28.64023,3,84.05758620689656,21,55949
3.98374,-16.34889,0.1180799999999999,28.629,3,83.9794827586207,21,55950
3.98245,-16.34889,0.1226299999999999,28.64023,3,83.90103448275863,21,55951
3.98116,-16.34971,0.12717,28.64023,3,83.82275862068967,21,55952
3.97987,-16.34889,0.13169,28.629,3,83.74482758620691,21,55953
3.97923,-16.34971,0.13625,28.64023,3,83.66620689655173,21,55954
3.97794,-16.34971,0.1408,28.64023,3,83.58775862068967,21,55955
3.9773,-16.34971,0.14533,28.629,3,83.5096551724138,21,55956
3.97601,-16.34971,0.14986,28.629,3,83.43155172413793,21,55957
3.97472,-16.34971,0.1544,28.629,3,83.35327586206898,21,55958
3.97408,-16.34889,0.15895,28.8424,3,83.27482758620691,21,55959
3.97279,-16.34889,0.1635,28.8424,3,83.19637931034484,21,55960
3.9715,-16.34889,0.16804,28.85363,3,83.11810344827587,21,55961
3.97021,-16.34889,0.1725799999999999,28.85363,3,83.0398275862069,21,55962
3.96957,-16.34889,0.17712,28.85363,3,82.96155172413793,21,55963
3.968280000000001,-16.34971,0.18166,28.8424,3,82.88327586206898,21,55964
3.96763,-16.34889,0.18621,28.85363,3,82.8048275862069,21,55965
3.96635,-16.34889,0.19075,28.8424,3,82.72655172413793,21,55966
3.96506,-16.34971,0.19528,28.8424,3,82.64844827586207,21,55967
3.96441,-16.34889,0.19984,28.85363,3,82.5698275862069,21,55968
3.963130000000001,-16.34971,0.20437,29.0558,3,82.49172413793104,21,55969
3.96184,-16.34971,0.2089099999999999,29.06703,3,82.4134482758621,21,55970
3.96119,-16.34971,0.21345,29.0558,3,82.33517241379312,21,55971
3.9599,-16.34971,0.218,29.0558,3,82.25672413793104,21,55972
3.95862,-16.34971,0.22253,29.06703,3,82.17862068965519,21,55973
3.95797,-16.34971,0.22709,29.0558,3,82.10000000000001,21,55974
3.95668,-16.34889,0.23162,29.06703,3,82.02189655172414,21,55975
3.9554,-16.34971,0.23615,29.25796,3,81.94379310344827,21,55976
3.95475,-16.34971,0.2407099999999999,29.06703,3,81.86517241379312,21,55977
3.95346,-16.34971,0.24523,29.04456,3,81.78724137931036,21,55978
3.95217,-16.34971,0.24979,29.0558,3,81.70862068965519,21,55979
3.95089,-16.34971,0.25433,29.26919,3,81.63034482758621,21,55980
3.94895,-16.34889,0.25887,29.04456,3,81.55206896551725,21,55981
3.94831,-16.34971,0.2634,29.25796,3,81.4739655172414,21,55982
3.94702,-16.34889,0.26796,29.25796,3,81.39534482758623,21,55983
3.94638,-16.34971,0.27249,29.25796,3,81.31724137931035,21,55984
3.94509,-16.34971,0.27703,29.25796,3,81.23896551724138,21,55985
3.9438,-16.34971,0.28157,29.26919,3,81.16068965517242,21,55986
3.94316,-16.34971,0.28611,29.26919,3,81.08241379310347,21,55987
3.94187,-16.34971,0.29067,29.26919,3,81.0037931034483,21,55988
3.94058,-16.34971,0.29521,29.47136,3,80.92551724137932,21,55989
3.93929,-16.34889,0.29973,29.25796,3,80.84758620689655,21,55990
3.938,-16.34889,0.30429,29.25796,3,80.76896551724138,21,55991
3.93671,-16.34889,0.30882,29.47136,3,80.69086206896553,21,55992
3.93607,-16.34971,0.3133599999999999,29.47136,3,80.61258620689655,21,55993
3.93478,-16.34971,0.3179,29.47136,3,80.5343103448276,21,55994
3.93349,-16.34971,0.32245,29.46013,3,80.45586206896553,21,55995
3.9322,-16.34971,0.32698,29.46013,3,80.37775862068968,21,55996
3.93156,-16.34971,0.33152,29.47136,3,80.2994827586207,21,55997
3.93027,-16.34971,0.3360599999999999,29.47136,3,80.22120689655173,21,55998
3.92898,-16.34971,0.34062,29.47136,3,80.14258620689655,21,55999
3.92769,-16.34889,0.3451599999999999,29.47136,3,80.0643103448276,21,56000
3.92705,-16.34889,0.34969,29.46013,3,79.98620689655174,21,56001
3.92576,-16.34889,0.35425,29.46013,3,79.90758620689655,21,56002
3.92447,-16.34889,0.35878,29.47136,3,79.8294827586207,21,56003
3.92319,-16.34889,0.3633099999999999,29.46013,3,79.75137931034484,21,56004
3.92254,-16.34889,0.36787,29.47136,3,79.67275862068966,21,56005
3.92125,-16.34889,0.3724,29.46013,3,79.59465517241381,21,56006
3.91996,-16.34971,0.37694,29.46013,3,79.51637931034485,21,56007
3.91932,-16.34971,0.38149,29.47136,3,79.43793103448276,21,56008
3.91803,-16.34971,0.38602,29.47136,3,79.3598275862069,21,56009
3.91739,-16.34889,0.39057,29.48259,3,79.28137931034483,21,56010
3.9161,-16.34971,0.39511,29.46013,3,79.20310344827587,21,56011
3.91545,-16.34889,0.39965,29.47136,3,79.1248275862069,21,56012
3.91417,-16.34889,0.40421,29.67353,3,79.04620689655174,21,56013
3.91352,-16.34971,0.40874,29.47136,3,78.96810344827587,21,56014
3.91288,-16.34971,0.4132699999999999,29.68476,3,78.89000000000001,21,56015
