Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.00727,-21.79997,0.00603,31.56981,4,88.23224137931035,10,20527
4.0008300000000006,-21.79997,0.01209,31.55863,4,88.12775862068966,10,20528
3.99504,-21.79997,0.01815,31.55863,4,88.02327586206896,10,20529
3.99053,-21.79997,0.0242,31.56981,4,87.91896551724139,10,20530
3.98667,-21.79997,0.03025,31.56981,4,87.81465517241381,10,20531
3.9841,-21.79997,0.03631,31.771040000000003,4,87.71017241379309,10,20532
3.98088,-21.79997,0.04238,31.56981,4,87.60551724137932,10,20533
3.97766,-21.79997,0.04843,31.55863,4,87.50120689655172,10,20534
3.97508,-21.79915,0.05451,31.771040000000003,4,87.39637931034484,10,20535
3.97251,-21.79915,0.0605299999999999,31.771040000000003,4,87.29258620689656,10,20536
3.97058,-21.79915,0.06661,31.771040000000003,4,87.18775862068966,10,20537
3.968,-21.79915,0.07265,31.771040000000003,4,87.08362068965518,10,20538
3.96607,-21.79915,0.07872,31.771040000000003,4,86.97896551724138,10,20539
3.96414,-21.79915,0.08476,31.771040000000003,4,86.87482758620689,10,20540
3.96221,-21.79915,0.09083,31.771040000000003,4,86.77017241379309,10,20541
3.960280000000001,-21.79915,0.09688,31.771040000000003,4,86.66586206896552,10,20542
3.95771,-21.79997,0.10294,31.98344,4,86.56137931034483,10,20543
3.95578,-21.79997,0.10899,31.98344,4,86.45706896551724,10,20544
3.95449,-21.79997,0.11504,31.98344,4,86.35275862068967,10,20545
3.95256,-21.79997,0.12112,31.98344,4,86.24793103448275,10,20546
3.95127,-21.79997,0.12716,31.98344,4,86.14379310344827,10,20547
3.94934,-21.79997,0.13322,31.98344,4,86.0393103448276,10,20548
3.94805,-21.79997,0.13925,31.98344,4,85.9353448275862,10,20549
3.94612,-21.79915,0.14534,32.195840000000004,4,85.8303448275862,10,20550
3.944830000000001,-21.79915,0.15137,31.98344,4,85.72637931034483,10,20551
3.9429,-21.79915,0.15744,32.195840000000004,4,85.62172413793104,10,20552
3.94162,-21.79997,0.16348,32.195840000000004,4,85.51758620689655,10,20553
3.94033,-21.79997,0.16953,32.195840000000004,4,85.41327586206897,10,20554
3.9384,-21.79997,0.17559,32.40825,4,85.30879310344828,10,20555
3.93711,-21.79997,0.18166,32.195840000000004,4,85.2041379310345,10,20556
3.93582,-21.79997,0.18772,32.40825,4,85.0996551724138,10,20557
3.93454,-21.79997,0.19375,32.40825,4,84.99568965517243,10,20558
3.93325,-21.79915,0.19984,32.40825,4,84.89068965517241,10,20559
3.93196,-21.79915,0.2058699999999999,32.62065,4,84.78672413793103,10,20560
3.93067,-21.79915,0.21193,32.41943,4,84.68224137931036,10,20561
3.92874,-21.79915,0.21798,32.63183,4,84.57793103448276,10,20562
3.92746,-21.79915,0.22403,32.60947,4,84.47362068965518,10,20563
3.92617,-21.79997,0.23012,32.62065,4,84.36862068965517,10,20564
3.92488,-21.79997,0.23614,32.62065,4,84.26482758620689,10,20565
3.92359,-21.79997,0.2422,32.60947,4,84.1603448275862,10,20566
3.92231,-21.79997,0.24828,32.821870000000004,4,84.0555172413793,10,20567
3.92102,-21.79997,0.25432,32.821870000000004,4,83.95137931034483,10,20568
