Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.0111300000000005,-21.79997,0.00602,31.98344,4,87.9398275862069,16,34094
4.0034,-21.79997,0.01208,31.99462,4,87.83534482758621,16,34095
3.99761,-21.79997,0.01815,31.99462,4,87.73068965517241,16,34096
3.99246,-21.79997,0.02417,31.99462,4,87.62689655172414,16,34097
3.9886,-21.79915,0.03026,31.99462,4,87.52189655172414,16,34098
3.98538,-21.79915,0.03631,32.0058,4,87.41758620689656,16,34099
3.98216,-21.79915,0.04236,31.99462,4,87.31327586206896,16,34100
3.97959,-21.79915,0.04842,31.99462,4,87.20879310344829,16,34101
3.97702,-21.79915,0.05446,31.98344,4,87.1046551724138,16,34102
3.97444,-21.79915,0.06051,31.99462,4,87.00034482758622,16,34103
3.97187,-21.79997,0.06657,32.20702,4,86.89586206896554,16,34104
3.96994,-21.79997,0.07263,31.98344,4,86.79137931034482,16,34105
3.96736,-21.79997,0.0787,32.20702,4,86.68672413793102,16,34106
3.96479,-21.79997,0.08475,32.20702,4,86.58241379310346,16,34107
3.96286,-21.79997,0.0908,32.20702,4,86.47810344827587,16,34108
3.96092,-21.79997,0.09685,32.20702,4,86.37379310344828,16,34109
3.95899,-21.79997,0.1029,32.20702,4,86.2694827586207,16,34110
3.95706,-21.79997,0.1089599999999999,32.20702,4,86.165,16,34111
3.955130000000001,-21.79915,0.11503,32.195840000000004,4,86.06034482758622,16,34112
3.95384,-21.79915,0.12109,32.41943,4,85.95586206896553,16,34113
3.95191,-21.79915,0.12712,32.41943,4,85.85189655172415,16,34114
3.949980000000001,-21.79915,0.1332,32.41943,4,85.74706896551724,16,34115
3.9487,-21.79915,0.13924,32.41943,4,85.64293103448277,16,34116
3.94676,-21.79915,0.14528,32.40825,4,85.53879310344828,16,34117
3.94548,-21.79915,0.15135,32.41943,4,85.43413793103448,16,34118
3.94419,-21.79997,0.15742,32.40825,4,85.3294827586207,16,34119
3.94226,-21.79997,0.16346,32.45296,4,85.22534482758623,16,34120
3.94097,-21.79915,0.16954,32.63183,4,85.12051724137932,16,34121
3.93968,-21.79997,0.17556,32.62065,4,85.01672413793105,16,34122
3.9384,-21.79997,0.18164,32.63183,4,84.91189655172414,16,34123
3.93711,-21.79915,0.1876799999999999,32.62065,4,84.80775862068965,16,34124
3.93518,-21.79915,0.1937299999999999,32.63183,4,84.70344827586209,16,34125
3.93389,-21.79915,0.19981,32.63183,4,84.59862068965518,16,34126
3.9326,-21.79997,0.20586,32.821870000000004,4,84.4943103448276,16,34127
3.93132,-21.79915,0.2119,32.83305,4,84.39017241379311,16,34128
3.93003,-21.79997,0.21796,32.83305,4,84.28568965517242,16,34129
3.92874,-21.79915,0.224,32.83305,4,84.18155172413793,16,34130
3.92746,-21.79915,0.23008,32.821870000000004,4,84.07672413793104,16,34131
3.92617,-21.79997,0.23613,32.821870000000004,4,83.97241379310346,16,34132
3.92488,-21.79997,0.24218,33.04546,4,83.86810344827586,16,34133
3.92359,-21.79997,0.2482599999999999,33.04546,4,83.76327586206897,16,34134
3.92231,-21.79997,0.25428,33.034279999999995,4,83.65948275862071,16,34135
