Voltage [V],Current [A],AhStep [Ah],TempBottom [C],CRate [-],SOC [%],Cycle [-],Time [s]
4.0385,16.34889,0.00455,28.42683,3,85.78913793103449,30,81015
4.0327,16.34971,0.00908,28.22467,3,85.71103448275862,30,81016
4.02883,16.34889,0.0136199999999999,28.22467,3,85.63275862068966,30,81017
4.02497,16.34889,0.01818,28.42683,3,85.55413793103449,30,81018
4.0211,16.34889,0.0227199999999999,28.42683,3,85.47586206896553,30,81019
4.01788,16.34889,0.02727,28.42683,3,85.39741379310345,30,81020
4.01531,16.34889,0.0318,28.43807,3,85.3193103448276,30,81021
4.01273,16.34971,0.03633,28.22467,3,85.24120689655172,30,81022
4.01015,16.34889,0.0408899999999999,28.42683,3,85.16258620689655,30,81023
4.00822,16.34971,0.04543,28.42683,3,85.0843103448276,30,81024
4.00629,16.34889,0.04997,28.42683,3,85.00603448275862,30,81025
4.00371,16.34889,0.0545,28.42683,3,84.92793103448275,30,81026
4.00178,16.34971,0.0590299999999999,28.42683,3,84.8498275862069,30,81027
3.99984,16.34971,0.06358,28.42683,3,84.77137931034483,30,81028
3.99856,16.34971,0.0681399999999999,28.43807,3,84.69275862068966,30,81029
3.99727,16.34889,0.07266,28.4156,3,84.61482758620689,30,81030
3.99534,16.34971,0.0772,28.4156,3,84.53655172413792,30,81031
3.99405,16.34971,0.08175,28.42683,3,84.45810344827586,30,81032
3.99276,16.34971,0.0863,28.42683,3,84.3796551724138,30,81033
3.99083,16.34889,0.09085,28.42683,3,84.30120689655173,30,81034
3.98954,16.34889,0.09539,28.42683,3,84.22293103448276,30,81035
3.98825,16.34889,0.09992,28.629,3,84.14482758620689,30,81036
3.98696,16.34889,0.10447,28.43807,3,84.06637931034483,30,81037
3.98567,16.34971,0.10901,28.629,3,83.98810344827587,30,81038
3.98503,16.34889,0.11355,28.629,3,83.90982758620689,30,81039
3.98374,16.34889,0.11809,28.64023,3,83.83155172413794,30,81040
3.98245,16.34889,0.1226299999999999,28.65146,3,83.75327586206897,30,81041
3.98116,16.34889,0.12717,28.629,3,83.675,30,81042
3.97987,16.34889,0.13171,28.629,3,83.59672413793103,30,81043
3.97859,16.34971,0.13625,28.629,3,83.51844827586206,30,81044
3.97794,16.34889,0.14079,28.64023,3,83.4401724137931,30,81045
3.97665,16.34889,0.14533,28.85363,3,83.36189655172413,30,81046
3.97537,16.34889,0.14989,28.85363,3,83.28327586206898,30,81047
3.97472,16.34889,0.15441,28.629,3,83.2053448275862,30,81048
3.973430000000001,16.34971,0.15897,28.85363,3,83.12672413793103,30,81049
3.97214,16.34971,0.16351,28.85363,3,83.04844827586207,30,81050
3.9715,16.34889,0.16804,28.8424,3,82.9703448275862,30,81051
3.97021,16.34889,0.1725799999999999,28.85363,3,82.89206896551724,30,81052
3.96892,16.34889,0.17712,28.85363,3,82.81379310344826,30,81053
3.968280000000001,16.34971,0.18168,28.8424,3,82.73517241379311,30,81054
3.96699,16.34971,0.18619,28.85363,3,82.65741379310346,30,81055
3.96635,16.34971,0.19075,28.85363,3,82.57879310344826,30,81056
3.96506,16.34971,0.19529,28.8424,3,82.50051724137931,30,81057
3.96377,16.34889,0.19983,29.0558,3,82.42224137931034,30,81058
3.96248,16.34889,0.20437,29.0558,3,82.34396551724137,30,81059
3.96184,16.34971,0.2089,29.06703,3,82.26586206896552,30,81060
3.96055,16.34971,0.2134599999999999,29.06703,3,82.18724137931035,30,81061
3.95926,16.34889,0.21799,29.04456,3,82.10913793103448,30,81062
3.95862,16.34971,0.22253,29.0558,3,82.03086206896552,30,81063
3.95733,16.34889,0.22707,29.0558,3,81.95258620689654,30,81064
3.95604,16.34889,0.2316099999999999,29.06703,3,81.87431034482759,30,81065
3.95475,16.34889,0.23617,29.0558,3,81.79568965517241,30,81066
3.95411,16.34889,0.2407,29.06703,3,81.71758620689654,30,81067
3.95282,16.34889,0.24524,29.04456,3,81.63931034482759,30,81068
3.95153,16.34889,0.24978,29.0558,3,81.56103448275861,30,81069
